PROGENY_Pathways	NES_WT_vsTAMR_A
Androgen	-1.699934926467273
EGFR	1.8681908320921292
Estrogen	12.638196599407769
Hypoxia	-7.8177834600184495
JAK.STAT	-0.2989764575249986
MAPK	-0.02255371047421521
NFkB	-3.217034568669184
p53	-0.731320547332568
PI3K	-0.030601141145711604
TGFb	-2.915006116254851
TNFa	-2.4408580511314444
Trail	1.3550065221884964
VEGF	-0.7053220076781398
WNT	0.44968917195648284
